date,victims
1990-01-01,3
1990-02-01,1
1990-03-01,0
1990-04-01,0
1990-05-01,2
1990-06-01,9
1990-07-01,0
1990-08-01,0
1990-09-01,7
1990-10-01,1
1990-11-01,0
1990-12-01,0
1991-01-01,1
1991-02-01,2
1991-03-01,3
1991-04-01,3
1991-05-01,4
1991-06-01,4
1991-07-01,12
1991-08-01,2
1991-09-01,2
1991-10-01,6
1991-11-01,13
1991-12-01,18
1992-01-01,16
1992-02-01,12
1992-03-01,11
1992-04-01,7
1992-05-01,2
1992-06-01,41
1992-07-01,24
1992-08-01,4
1992-09-01,25
1992-10-01,3
1992-11-01,7
1992-12-01,1
1993-01-01,2
1993-02-01,7
1993-03-01,5
1993-04-01,4
1993-05-01,12
1993-06-01,7
1993-07-01,2
1993-08-01,12
1993-09-01,16
1993-10-01,4
1993-11-01,13
1993-12-01,4
1994-01-01,9
1994-02-01,9
1994-03-01,33
1994-04-01,6
1994-05-01,3
1994-06-01,0
1994-07-01,5
1994-08-01,8
1994-09-01,2
1994-10-01,5
1994-11-01,5
1994-12-01,2
1995-01-01,2
1995-02-01,4
1995-03-01,31
1995-04-01,19
1995-05-01,8
1995-06-01,6
1995-07-01,13
1995-08-01,1
1995-09-01,22
1995-10-01,5
1995-11-01,7
1995-12-01,12
1996-01-01,6
1996-02-01,9
1996-03-01,0
1996-04-01,31
1996-05-01,5
1996-06-01,18
1996-07-01,3
1996-08-01,4
1996-09-01,9
1996-10-01,8
1996-11-01,14
1996-12-01,13
1997-01-01,1
1997-02-01,32
1997-03-01,2
1997-04-01,7
1997-05-01,3
1997-06-01,11
1997-07-01,3
1997-08-01,16
1997-09-01,11
1997-10-01,3
1997-11-01,6
1997-12-01,1
1998-01-01,3
1998-02-01,6
1998-03-01,0
1998-04-01,1
1998-05-01,9
1998-06-01,5
1998-07-01,7
1998-08-01,7
1998-09-01,4
1998-10-01,4
1998-11-01,10
1998-12-01,3
1999-01-01,2
1999-02-01,0
1999-03-01,10
1999-04-01,1
1999-05-01,9
1999-06-01,4
1999-07-01,5
1999-08-01,2
1999-09-01,4
1999-10-01,1
1999-11-01,3
1999-12-01,13
2000-01-01,17
2000-02-01,7
2000-03-01,20
2000-04-01,12
2000-05-01,4
2000-06-01,22
2000-07-01,8
2000-08-01,14
2000-09-01,7
2000-10-01,12
2000-11-01,14
2000-12-01,4
2001-01-01,17
2001-02-01,10
2001-03-01,23
2001-04-01,20
2001-05-01,20
2001-06-01,52
2001-07-01,42
2001-08-01,25
2001-09-01,24
2001-10-01,34
2001-11-01,16
2001-12-01,16
2002-01-01,46
2002-02-01,43
2002-03-01,56
2002-04-01,35
2002-05-01,93
2002-06-01,20
2002-07-01,34
2002-08-01,73
2002-09-01,61
2002-10-01,65
2002-11-01,51
2002-12-01,54
2003-01-01,46
2003-02-01,70
2003-03-01,97
2003-04-01,50
2003-05-01,63
2003-06-01,78
2003-07-01,68
2003-08-01,67
2003-09-01,57
2003-10-01,87
2003-11-01,50
2003-12-01,27
2004-01-01,79
2004-02-01,71
2004-03-01,89
2004-04-01,59
2004-05-01,60
2004-06-01,88
2004-07-01,97
2004-08-01,56
2004-09-01,74
2004-10-01,96
2004-11-01,53
2004-12-01,78
2005-01-01,80
2005-02-01,129
2005-03-01,85
2005-04-01,112
2005-05-01,126
2005-06-01,100
2005-07-01,100
2005-08-01,118
2005-09-01,73
2005-10-01,97
2005-11-01,80
2005-12-01,76
2006-01-01,94
2006-02-01,136
2006-03-01,149
2006-04-01,101
2006-05-01,142
2006-06-01,62
2006-07-01,98
2006-08-01,131
2006-09-01,108
2006-10-01,87
2006-11-01,65
2006-12-01,51
2007-01-01,77
2007-02-01,103
2007-03-01,127
2007-04-01,89
2007-05-01,95
2007-06-01,75
2007-07-01,70
2007-08-01,88
2007-09-01,74
2007-10-01,84
2007-11-01,59
2007-12-01,39
2008-01-01,61
2008-02-01,143
2008-03-01,80
2008-04-01,51
2008-05-01,58
2008-06-01,79
2008-07-01,65
2008-08-01,81
2008-09-01,59
2008-10-01,81
2008-11-01,50
2008-12-01,43
2009-01-01,56
2009-02-01,55
2009-03-01,96
2009-04-01,96
2009-05-01,63
2009-06-01,80
2009-07-01,55
2009-08-01,61
2009-09-01,76
2009-10-01,47
2009-11-01,38
2009-12-01,48
2010-01-01,53
2010-02-01,30
2010-03-01,61
2010-04-01,148
2010-05-01,50
2010-06-01,52
2010-07-01,39
2010-08-01,42
2010-09-01,35
2010-10-01,83
2010-11-01,62
2010-12-01,24
2011-01-01,33
2011-02-01,56
2011-03-01,66
2011-04-01,56
2011-05-01,39
2011-06-01,64
2011-07-01,49
2011-08-01,52
2011-09-01,34
2011-10-01,31
2011-11-01,40
2011-12-01,44
2012-01-01,32
2012-02-01,87
2012-03-01,55
2012-04-01,62
2012-05-01,43
2012-06-01,66
2012-07-01,39
2012-08-01,43
2012-09-01,51
2012-10-01,40
2012-11-01,48
2012-12-01,23
2013-01-01,51
2013-02-01,63
2013-03-01,40
2013-04-01,27
2013-05-01,59
2013-06-01,45
2013-07-01,37
2013-08-01,22
2013-09-01,26
2013-10-01,25
2013-11-01,23
2013-12-01,9
2014-01-01,22
2014-02-01,20
2014-03-01,42
2014-04-01,30
2014-05-01,60
2014-06-01,16
2014-07-01,19
2014-08-01,17
2014-09-01,15
2014-10-01,20
2014-11-01,21
2014-12-01,11
2015-01-01,31
2015-02-01,11
2015-03-01,31
2015-04-01,12
2015-05-01,22
2015-06-01,13
2015-07-01,35
2015-08-01,26
2015-09-01,6
2015-10-01,17
2015-11-01,9
2015-12-01,10
2016-01-01,4
2016-02-01,13
2016-03-01,17
2016-04-01,14
2016-05-01,6
2016-06-01,6
2016-07-01,8
2016-08-01,6
2016-09-01,4
2016-10-01,1
2016-11-01,6
2016-12-01,5
2017-01-01,3
2017-02-01,4
2017-03-01,4
2017-04-01,4
2017-05-01,1
2017-06-01,3
2017-07-01,5
2017-08-01,4
2017-09-01,9
2017-10-01,11
2017-11-01,4
2017-12-01,7
2018-01-01,6
2018-02-01,17
2018-03-01,18
2018-04-01,10
2018-05-01,21
2018-06-01,20
2018-07-01,14
2018-08-01,14
2018-09-01,3
2018-10-01,20
2018-11-01,25
2018-12-01,11
2019-01-01,9
2019-02-01,29
2019-03-01,17
2019-04-01,9
2019-05-01,2
2019-06-01,10
2019-07-01,9
2019-08-01,6
2019-09-01,3
2019-10-01,7
2019-11-01,12
2019-12-01,4
2020-01-01,15
2020-02-01,19
2020-03-01,13
2020-04-01,13
2020-05-01,11
2020-06-01,8
2020-07-01,17
2020-08-01,20
2020-09-01,14
2020-10-01,11
2020-11-01,16
2020-12-01,19
2021-01-01,9
2021-02-01,28
2021-03-01,7
2021-04-01,22
2021-05-01,4
2021-06-01,9
2021-07-01,13
2021-08-01,19
2021-09-01,12
2021-10-01,17
2021-11-01,10
2021-12-01,7
2022-01-01,8
2022-02-01,18
2022-03-01,22
2022-04-01,9
2022-05-01,13
2022-06-01,9
2022-07-01,13
2022-08-01,13
2022-09-01,3
2022-10-01,5
2022-11-01,10
2022-12-01,16
2023-01-01,16
2023-02-01,11
2023-03-01,9
2023-04-01,4
2023-05-01,9
2023-06-01,12
2023-07-01,3
2023-08-01,11
2023-09-01,5
2023-10-01,5
